,date,fremont_bridge_nb,fremont_bridge_sb
620,2017-02-26 15:00:00,15,19
621,2017-02-01 05:00:00,18,10
622,2015-05-07 23:00:00,13,21
623,2015-06-10 07:00:00,367,150
624,2013-09-01 22:00:00,9,40
625,2014-06-23 12:00:00,71,52
626,2016-01-07 17:00:00,120,300
627,2016-10-07 23:00:00,7,13
628,2016-04-05 09:00:00,150,107
629,2014-09-10 11:00:00,0,62
630,2013-05-25 13:00:00,79,66
631,2014-01-03 05:00:00,11,4
632,2015-04-09 23:00:00,7,23
633,2015-07-06 16:00:00,118,163
634,2012-10-09 12:00:00,37,40
635,2015-01-26 11:00:00,69,0
636,2014-08-17 01:00:00,3,9
637,2013-06-08 00:00:00,7,24
638,2016-08-18 12:00:00,55,52
639,2013-03-08 13:00:00,53,60
640,2016-05-29 15:00:00,41,37
641,2014-03-14 20:00:00,15,45
642,2014-02-21 23:00:00,9,12
643,2017-01-06 16:00:00,40,114
644,2014-02-08 07:00:00,6,5
645,2014-12-13 03:00:00,2,4
646,2014-06-14 09:00:00,65,61
647,2013-08-02 23:00:00,9,14
648,2014-06-15 14:00:00,81,55
649,2013-09-02 09:00:00,63,53
650,2014-04-12 05:00:00,5,1
651,2015-09-18 21:00:00,14,22
652,2016-04-05 22:00:00,7,16
653,2015-11-10 14:00:00,33,45
654,2016-11-28 10:00:00,44,44
655,2015-05-20 06:00:00,144,70
656,2017-02-18 07:00:00,9,6
657,2015-05-31 01:00:00,11,9
658,2015-10-13 08:00:00,356,166
659,2017-02-03 22:00:00,1,10
660,2015-07-22 08:00:00,383,210
661,2016-11-29 05:00:00,28,15
662,2015-10-27 06:00:00,98,45
663,2015-12-12 20:00:00,3,9
664,2015-03-14 05:00:00,1,1
665,2012-10-07 11:00:00,94,71
666,2014-10-04 04:00:00,3,2
667,2016-05-24 15:00:00,79,98
668,2016-08-05 14:00:00,54,61
669,2013-08-28 22:00:00,20,22
670,2014-04-12 01:00:00,8,5
671,2014-03-09 09:00:00,20,11
672,2013-04-10 18:00:00,107,165
673,2015-10-31 10:00:00,18,14
674,2017-01-14 04:00:00,0,0
675,2013-06-07 18:00:00,170,280
676,2017-01-22 04:00:00,0,0
677,2013-07-13 11:00:00,98,83
678,2013-11-02 06:00:00,4,7
679,2016-07-30 07:00:00,27,31
680,2017-05-26 14:00:00,83,136
681,2013-10-07 08:00:00,252,137
682,2017-01-30 04:00:00,2,4
683,2015-09-04 11:00:00,30,38
684,2017-01-10 01:00:00,0,0
685,2014-08-17 00:00:00,8,19
686,2015-04-05 22:00:00,8,8
687,2014-11-10 02:00:00,1,4
688,2016-01-27 06:00:00,64,38
689,2016-05-25 10:00:00,73,53
690,2013-10-20 03:00:00,1,9
691,2014-02-19 13:00:00,44,37
692,2016-08-26 10:00:00,76,61
693,2017-03-22 21:00:00,16,33
694,2016-04-25 06:00:00,74,35
695,2016-12-01 12:00:00,28,25
696,2013-12-23 08:00:00,103,47
697,2013-04-24 22:00:00,24,22
698,2016-09-22 07:00:00,257,165
699,2013-03-20 16:00:00,50,66
700,2014-06-04 15:00:00,87,106
701,2015-07-01 05:00:00,33,19
702,2013-03-18 20:00:00,18,32
703,2015-04-05 09:00:00,45,47
704,2017-05-07 18:00:00,96,53
705,2014-11-25 09:00:00,134,19
706,2013-06-01 23:00:00,13,20
707,2016-12-26 04:00:00,3,1
708,2013-07-08 00:00:00,5,18
709,2017-01-05 03:00:00,0,0
710,2015-05-28 02:00:00,1,3
711,2013-03-09 14:00:00,136,120
712,2016-06-23 04:00:00,4,0
713,2016-05-15 23:00:00,6,7
714,2016-05-16 22:00:00,17,13
715,2016-08-15 20:00:00,62,94
716,2014-11-23 19:00:00,14,12
717,2013-07-08 02:00:00,1,3
718,2013-03-13 03:00:00,2,1
719,2014-06-12 00:00:00,13,13
720,2017-01-06 03:00:00,0,0
721,2012-12-10 13:00:00,25,28
722,2013-09-20 03:00:00,2,3
723,2013-02-14 13:00:00,32,16
724,2013-07-10 23:00:00,16,18
725,2016-08-02 08:00:00,320,192
726,2012-11-01 03:00:00,0,0
727,2016-08-15 12:00:00,44,47
